705,刨,páo
706,沛,pèi
707,碰,pèng
708,陪,péi
709,盆,pén
710,芃,péng
711,屁,pì
712,牝,pìn
713,皮,pí
714,贫,pín
715,平,píng
716,迫,pò
717,婆,pó
718,掊,póu
719,铺,pù
720,匍,pú
721,趴,pā
722,拍,pāi
723,眅,pān
724,乓,pāng
725,抛,pāo
726,肧,pēi
727,喷,pēn
728,怦,pēng
729,翸,pěn
730,捧,pěng
731,丕,pī
732,姘,pīn
733,乒,pīng
734,钋,pō
735,剖,pōu
736,攴,pū
737,耪,pǎng
738,跑,pǎo
739,匹,pǐ
740,品,pǐn
741,叵,pǒ
742,朴,pǔ
743,螧,qi
744,竏,qian
745,洽,qià
746,欠,qiàn
747,炝,qiàng
748,陗,qiào
749,钤,qián
750,强,qiáng
751,乔,qiáo
752,切,qiè
753,聺,qié
754,邛,qióng
755,犰,qiú
756,掐,qiā
757,千,qiān
758,羌,qiāng
759,悄,qiāo
760,且,qiě
761,芎,qiōng
762,丘,qiū
763,跒,qiǎ
764,肷,qiǎn
765,抢,qiǎng
766,巧,qiǎo
767,糗,qiǔ
768,劝,quàn
769,权,quán
770,却,què
771,瘸,qué
772,悛,quān
773,缺,quē
774,犬,quǎn
775,气,qì
776,吣,qìn
777,庆,qìng
778,亓,qí
779,芩,qín
780,情,qíng
781,去,qù
782,劬,qú
783,裙,qún
784,七,qī
785,钦,qīn
786,青,qīng
787,区,qū
788,逡,qūn
789,乞,qǐ
790,笉,qǐn
791,苘,qǐng
792,取,qǔ
793,穃,rong
794,込,ru
795,芮,ruì
796,緌,ruí
797,若,ruò
798,阮,ruǎn
799,蕋,ruǐ
800,让,ràng
801,绕,rào
802,肰,rán
803,蘘,ráng
804,娆,ráo
805,热,rè
806,刃,rèn
807,人,rén
808,仍,réng
809,日,rì
810,鴧,ròng
811,肉,ròu
812,戎,róng
813,柔,róu
814,入,rù
815,闰,rùn
816,如,rú
817,扔,rēng
818,惹,rě
819,忍,rěn
820,茸,rōng
821,冉,rǎn
822,攘,rǎng
823,扰,rǎo
824,冗,rǒng
825,汝,rǔ
826,螦,sao
827,穯,se
828,繌,sha
829,裳,shang
830,鰰,shen
831,匙,shi
832,帅,shuài
833,涮,shuàn
834,稅,shuì
835,谁,shuí
836,妁,shuò
837,刷,shuā
838,衰,shuāi
839,闩,shuān
840,双,shuāng
841,说,shuō
842,耍,shuǎ
843,甩,shuǎi
844,爽,shuǎng
845,水,shuǐ
846,唼,shà
847,晒,shài
848,讪,shàn
849,上,shàng
850,劭,shào
851,勺,sháo
852,厍,shè
853,肾,shèn
854,圣,shèng
855,舌,shé
856,什,shén
857,绳,shéng
858,士,shì
859,十,shí
860,寿,shòu
861,术,shù
862,顺,shùn
863,秫,shú
864,杀,shā
865,筛,shāi
866,彡,shān
867,伤,shāng
868,捎,shāo
869,猞,shē
