0,bai,薭
0,ban,螁
0,bao,藵
140,póu,掊,injure
140,pù,铺,shop
140,pú,匍,crawl
140,pā,趴,lying prone
140,pāi,拍,clap
141,pān,眅,inlay
141,pāng,滂,torrential
141,pāo,抛,throw (away)
141,pēi,肧,embryo
141,pēn,喷,spurt
142,pēng,怦,eager
142,pěn,翸
142,pī,丕,great
142,pīn,拼,link
142,pīng,俜,to trust to
143,pō,钋,polonium
143,pōu,剖,slice
143,pū,攴,rap
143,pǎng,耪,plow
143,pǎo,跑,run
144,pǐ,庀,to prepare
144,pǐn,品,article
144,pǒ,叵,cannot
144,pǔ,朴,simple
144,qi,螧
145,qian,竏,kiloliter
145,qià,洽,to cover
145,qiàn,欠,owe
145,qiào,陗,a steep hill
145,qián,钤,lock
146,qiáng,强,strong
146,qiáo,乔,tall
146,qiè,切,cut
146,qié,聺
146,qióng,邛,a mound
147,qiú,犰,armadillo
147,qiā,掐,hold
147,qiān,千,many
147,qiāng,羌,surname
147,qiāo,悄,silent
148,qiě,且,moreover
148,qiū,丘,hill
148,qiǎ,跒
148,qiǎn,浅,shallow
148,qiǎng,抢,rob
149,qiǎo,巧,clever
149,quàn,劝,urge
149,quán,权,power
149,què,却,but
149,qué,瘸,leg
150,quān,悛,repent
150,quē,缺,gap
150,quǎn,犬,dog
150,qì,气,steam
150,qìn,吣,vomit
151,qìng,庆,celebrate
151,qí,亓,her
151,qín,芹,celery
151,qíng,情,feeling
151,qù,去,leave
152,qú,劬,toil
152,qún,裙,skirt
152,qī,七,seven
152,qīn,钦,respect
152,qīng,青,blue
153,qū,区,area
153,qūn,逡,retreat
153,qǐ,乞,beg
153,qǐn,笉
153,qǐng,顷,a moment
154,qǔ,取,take
154,rong,穃
154,ru,込,go into
154,ruì,芮
154,ruí,蕤,delicate
155,ruò,若,if
155,ruǎn,朊
155,ruǐ,蕋,flower buds
155,ràng,让,allow
155,rào,绕,entwine
156,rán,肰
156,ráng,禳,exorcise
156,ráo,娆,graceful
156,rè,热,hot
156,rèn,刃,cutlery
157,rén,人,man
157,réng,仍,yet
157,rì,日,sun
157,ròng,鴧
157,ròu,肉,flesh
158,róng,戎,arms
158,róu,柔,soft
158,rù,入,enter
158,rùn,闰,extra
158,rú,如,if
159,rēng,扔,throw
159,rě,惹,vex
159,rěn,忍,bear
159,rōng,茸,soft
159,rǎn,冉,weak
160,rǎng,攘,seize
160,rǎo,扰,annoy
160,rǒng,冗,excessive
160,rǔ,汝,you
160,sao,螦
161,se,穯
161,sha,繌
161,shang,裳,skirt
161,shen,鰰
161,shi,匙,spoon
162,shuài,帅,commander
162,shuàn,涮,rinse
162,shuì,稅,tax
162,shuí,脽
162,shuò,烁,shine
163,shuā,刷,brush
163,shuāi,衰,decline
163,shuān,闩,bolt
163,shuāng,双,pair
163,shuō,说,say
164,shuǎ,耍,play
164,shuǎi,甩,discard
164,shuǎng,爽,happy
